date,health_score,pages_crawled,ttfb_median,pages_no_h1,imgs_missing_alt,json_ld_missing,gsc_clicks,gsc_impressions,gsc_ctr,gsc_avg_position,pages_indexed,pages_not_indexed,ga4_sessions,ga4_engagement_sec,ga4_key_events,ahrefs_dr,ahrefs_ref_domains,ahrefs_org_keywords,ahrefs_org_traffic,ai_overviews,chatgpt_citations
2026-07-31,64,365,806,61,1776,10,975,592000,0.20,26.1,288,392,7003,16,0,27,562,62,162,27,0
2026-08-02,64,365,822,61,1776,10,974,588000,0.20,26.3,288,392,7022,16,0,27,568,61,157,27,0
2026-08-03,65,365,740,61,1046,10,972,589000,0.20,26.5,288,392,7022,16,0,27,568,61,157,27,0
2026-08-04,65,365,766,61,1047,10,972,589000,0.20,26.5,288,392,7010,16,0,27,575,60,168,28,0
2026-08-05,64,368,817,61,1782,10,968,587000,0.20,26.6,288,392,5970,14,0,27,581,61,165,28,0
2026-08-12,71,368,62,62,1046,11,924,550000,0.20,27.9,312,398,5868,14,0,26,628,55,191,25,0
2026-08-13,71,367,112,61,1046,10,928,547000,0.20,28.0,312,398,5868,14,0,26,628,55,187,25,0
2026-08-14,71,365,109,59,1008,10,909,536000,0.20,28.4,312,398,5868,14,0,29,633,53,188,23,0
2026-08-15,67,365,737,61,1738,9,905,531000,0.20,28.6,312,398,7077,16,0,29,637,53,188,23,0
2026-08-16,65,365,751,61,1738,9,892,525000,0.20,28.8,312,398,7066,16,0,29,639,52,188,22,0
2026-08-17,66,365,747,58,1738,9,884,521000,0.20,28.9,312,396,7386,15,0,29,641,53,188,22,0
2026-08-19,66,366,763,58,1740,9,895,517000,0.20,29.1,316,405,7550,13,0,29,647,50,174,20,0
2026-08-20,67,366,723,58,1740,9,895,517000,0.20,29.1,316,405,7168,15,0,29,647,50,174,20,0
2026-08-21,61,366,780,58,2106,9,894,513000,0.20,29.2,316,405,6742,13,0,29,648,47,153,20,0
2026-08-24,60,345,769,36,1848,64,861,499000,0.20,29.5,322,416,7496,17,0,30,630,46,168,18,0
2026-08-25,59,345,843,36,2055,64,860,492000,0.20,29.7,322,416,7336,15,0,30,630,46,168,18,0
2026-08-26,64,345,254,37,2395,65,855,487000,0.20,29.8,322,416,7751,16,0,30,630,46,168,18,0
2026-08-27,59,345,881,37,2075,65,863,482000,0.20,29.9,322,416,7679,16,0,30,606,43,167,17,0
2026-08-30,67,345,88,37,1040,66,868,477000,0.20,30.2,322,416,7679,16,0,30,606,43,167,17,0
2026-09-02,59,345,907,37,2075,65,854,469000,0.20,30.6,321,409,7679,16,0,30,606,43,167,17,0
2026-09-03,67,346,251,37,1041,65,852,468000,0.20,30.8,321,409,7679,16,0,30,606,43,167,17,0
2026-09-05,61,355,886,37,2105,65,832,465000,0.20,31.0,321,409,7576,17,0,23,534,40,129,17,0
2026-09-06,64,359,877,37,2117,0,825,467000,0.20,30.9,321,409,7568,17,0,23,537,40,129,15,0
